,0
25,-7.347982
26,-7.2495575
27,-7.137115
28,-7.0095344
29,-6.8658357
30,-6.705517
31,-6.5288625
32,-6.337147
33,-6.132552
34,-5.918051
35,-5.696872
36,-5.472202
37,-5.2468023
38,-5.022839
39,-4.8018484
40,-4.5849047
41,-4.372748
42,-4.1659317
43,-3.9648702
44,-3.7698224
45,-3.5808372
46,-3.3977506
47,-3.220226
48,-3.0477984
49,-2.8799522
50,-2.7162802
51,-2.5563982
52,-2.4000285
53,-2.2467618
54,-2.0960593
55,-1.9471872
56,-1.7993903
57,-1.6519337
58,-1.5045049
59,-1.3570244
60,-1.20997
61,-1.0641848
62,-0.92087674
63,-0.7811097
64,-0.6459158
65,-0.51593095
66,-0.39135185
67,-0.27202204
68,-0.15750551
69,-0.04720365
70,0.05942503
71,0.16277911
72,0.26302096
73,0.3600546
74,0.45348996
75,0.54281783
76,0.6273774
77,0.7065745
78,0.7799709
79,0.8473477
80,0.90877646
81,0.9646345
82,1.0155845
83,1.0624244
84,1.1060268
85,1.147168
86,1.1864434
87,1.2241638
88,1.2603455
89,1.2946246
90,1.3263708
91,1.3548504
92,1.3791677
93,1.3984905
94,1.412092
95,1.419469
96,1.4202904
97,1.4144782
98,1.4021604
99,1.3836035
100,1.3592559
101,1.3296376
102,1.2953571
103,1.2571458
104,1.2158189
105,1.1723785
106,1.1280378
107,1.0842317
108,1.0426352
109,1.0051144
110,0.97358876
111,0.94990724
112,0.93563664
113,0.9318801
114,0.939107
115,0.9570616
116,0.98472947
117,1.020422
118,1.0619711
119,1.1069108
120,1.1527721
